feature_id,area,command,user_story,expected_behavior,preconditions,auth_required,network_required,source_refs,known_code_issues,phase2_test_method,phase2_result,phase2_errors,phase3_fix,phase4_retest,status
search-keyword,Explore,mdf search QUERY [--type all|datasets|streams] [--limit N] [--json] [--brief] [--service] [--api-url] [--token] [--dev-user],"As a researcher, I want to keyword-search public MDF datasets and streams, so that I can find relevant data quickly.","Required positional QUERY. Defaults: --type all, --limit 20. Calls BackendClient.search (GET /search). Renders a Rich table (#, Type, Title, ID, Status, DOI) on success plus a 'Next: mdf show <id>' hint; prints '[dim]No results found for ...[/dim]' when empty. With --json dumps the full result envelope; with --json --brief emits a list of {title, authors, doi}. No explicit nonzero exit on empty results.",Network reachable; no auth needed for public read,no,yes,cli/main.py:search; core/backend_client.py:search,"--brief is only honored under --json; passing --brief alone is silently ignored (main.py:1272-1282) and the help text does not surface the dependency at the flag level. | Unlike every other explore command, search builds an unauthenticated BackendClient when no token/dev_user is present (main.py:1244-1252), so its public-read behavior is inconsistent with show/list/related (which force interactive auth).",live run vs staging,PASS,table + --json + --brief + --type all work unauthenticated,"Routed through read_client() (public, friendly bad-service error).",PASS — unauthenticated keyword search returns results.,fixed+retested:PASS
search-semantic,Explore,mdf search QUERY --semantic [--limit N] [--json],"As a researcher, I want vector semantic search over dataset title+description embeddings, so that I can find conceptually related datasets without exact keywords.","--semantic switches to BackendClient.search_semantic (GET /search/semantic), datasets only. If the response has available=False, prints '[yellow]Semantic search unavailable: <reason>[/yellow]' (or raw JSON) and returns. Otherwise normalizes query/total and renders the same table as keyword search. --type is ignored in semantic mode.",Backend has a built embedding snapshot; network reachable,no,yes,cli/main.py:search; core/backend_client.py:search_semantic,--semantic silently ignores --type even though the docstring advertises streams; no warning is emitted when both are passed.,live run vs staging,PASS,vector search returns ranked datasets,Routed through read_client().,PASS — semantic search returns ranked datasets.,fixed+retested:PASS
list-datasets,Explore,mdf list [--limit N] [--status STATUS] [--search TEXT] [--latest-only] [--json] [--service] [--api-url] [--token] [--dev-user],"As a researcher, I want to list my submitted datasets with optional filters, so that I can track what I have submitted and their statuses.","Defaults: --limit 50. Calls BackendClient.submissions() (your own submissions). Client-side filters: --status exact-match on status, --search substring over source_id/doi/dataset_doi/title (case-insensitive), --latest-only drops records whose dataset_mdata.latest is False. Renders Rich table (Source ID, Title, Version, Status, Updated) capped at --limit AFTER filtering; prints '[dim]No datasets found.[/dim]' when empty. --json dumps the raw unfiltered envelope.",authenticated (lists caller's own submissions),yes,yes,cli/main.py:list_datasets; core/backend_client.py:submissions,"--json dumps the RAW backend result and ignores --status/--search/--latest-only filters entirely (main.py:1357-1359), so scripted JSON output silently differs from the table. | Filtering happens before the [:limit] slice but the backend submissions() call takes no limit/offset, so --limit only truncates the already-fetched list and can hide matching records beyond the cap. | Help/docstring lists only 'mdf list' and '--limit'; --status/--search/--latest-only flags are undocumented in the command help body (main.py:1340-1345).",live run vs staging (authenticated),PASS,"listed 35 of my datasets; --json still ignores filters (separate, deferred)",Deferred: --json should honor --status/--search/--latest-only filters.,UNCHANGED — deferred.,documented:deferred
related-by-author,Explore,mdf related SOURCE_ID [--by author] [--limit N] [--json],"As a researcher, I want datasets sharing an author with a given dataset, so that I can explore a group's body of work.","Default --by author, --limit 20. Resolves DOI->source_id first (with a notice). Calls related_by_author (GET /datasets/{id}/related?by=author). Renders a table (Source ID, Title, Shared, Year, DOI). Empty -> '[dim]No related datasets found for <id>[/dim]'. Invalid --by value exits code 2.",dataset exists; authenticated (forced by authenticated() fallthrough),yes,yes,cli/main.py:related; core/backend_client.py:related_by_author; cli/preflight.py:resolve_dataset_identifier,"Uses BackendClient.authenticated() unconditionally (main.py:1444), so a purely public 'related' lookup triggers interactive Globus login when no token is configured.",auth-prompt abort path verified (stdin closed),FAIL-auth-public,/datasets/{id}/related is public (200) but CLI forces interactive auth,Routed through read_client().,PASS — related table renders unauthenticated.,fixed+retested:PASS
related-similar,Explore,mdf related SOURCE_ID --by similar [--limit N] [--json],"As a researcher, I want nearest-neighbor datasets by embedding, so that I can find similar work even without shared authors.","--by similar calls similar_by_embedding (GET /datasets/{id}/related?by=similar). If result.available is False, prints the reason in yellow and returns. Otherwise renders a table with a Score column (formatted to 3 decimals). Requires a built embedding snapshot. Empty results print the reason or a generic 'No related datasets' message.",dataset exists; embedding snapshot built; authenticated (forced),yes,yes,cli/main.py:related; core/backend_client.py:similar_by_embedding,Same forced-auth issue as related-by-author for what is a public read. | --by accepts only 'author'/'similar'; any other value exits 2 with no list of valid choices echoed beyond the error line.,live run vs staging (authenticated),PARTIAL,no forced login; returns rows only where a snapshot neighbor exists,Routed through read_client() (still needs a built embedding snapshot).,PARTIAL — no forced login; needs a built snapshot to return rows.,fixed+retested:PARTIAL
show-dataset,Explore,mdf show SOURCE_ID [--cite] [--version V] [--json] [--service] [--api-url] [--token] [--dev-user],"As a researcher, I want to view a dataset's metadata card, so that I can evaluate it before downloading or citing.","Required SOURCE_ID (DOI accepted, resolved with notice). Calls get_card (and get_citation in APA when --cite). Renders a Panel (title/description) plus a metadata table (Authors, Publisher, Year, Organization, Keywords, DOI, License, Status, ML task/format) and a files/stats line. With --cite appends the APA citation. --json dumps {card, citation?}. On card failure calls require_success -> exit 1. Prints a 'Next:' hint with dataset open/cite/preview.",dataset exists; authenticated (forced),yes,yes,"cli/main.py:show; core/backend_client.py:get_card,get_citation","Forces BackendClient.authenticated() (main.py:1549) for a public dataset card, triggering interactive Globus OAuth login when no token/dev-user is set — a public read should not require login.",auth-prompt abort path verified (stdin closed),FAIL-auth-public,/card/{id} is public (200) but CLI forces interactive auth,Routed through read_client() — no forced interactive login for public cards.,PASS — full dataset card renders unauthenticated (no browser).,fixed+retested:PASS
dataset-cite,Dataset,mdf dataset cite SOURCE_ID [--format apa|bibtex|ris|datacite] [--copy] [--version V] [--json],"As a researcher, I want a formatted citation for a dataset, so that I can cite it in a paper or reference manager.",Default --format apa. Resolves DOI->id. Calls get_citation. citation_text = result[format] or result['apa']. With --copy pipes to pbcopy/xclip/xsel (no-op message if none). Renders a titled Rich Panel per format. --json dumps result and exits 1 on failure; non-json failure calls require_success -> exit 1.,dataset published with citation metadata; authenticated (forced),yes,yes,cli/dataset_cmd.py:cite; core/backend_client.py:get_citation; cli/main.py:cite_alias,Forced auth for a public citation read (dataset_cmd.py:85). | Top-level 'mdf cite' alias (main.py:cite_alias) is a thin re-import wrapper; identical functionality also exists at 'mdf backend cite' with an --output flag the dataset version lacks — three overlapping cite entry points (mdf cite / mdf dataset cite / mdf backend cite) drift in features. | --copy failures are swallowed silently (dataset_cmd.py:59-60) so a user can think it copied when it did not.,live run vs staging (authenticated),PASS,BibTeX/APA render for published datasets,Routed through read_client().,PASS — BibTeX citation unauthenticated.,fixed+retested:PASS
dataset-open,Dataset,mdf dataset open SOURCE_ID [--url] [--version V],"As a researcher, I want to open a dataset's landing page in my browser, so that I can view it on the web.","Resolves DOI->id, fetches card. If card has a DOI, target = https://doi.org/<doi>, else https://materialsdatafacility.org/datasets/<source_id>. With --url prints the URL only; otherwise webbrowser.open(target). On card failure require_success -> exit 1.",dataset exists; authenticated (forced just to fetch the card),yes,yes,cli/dataset_cmd.py:open_dataset; cli/main.py:open_alias,"Requires interactive auth and a network card fetch even with --url, where the user only wants a constructed URL string (dataset_cmd.py:138-164). | Fallback URL host 'materialsdatafacility.org/datasets/<id>' is hardcoded and unverified against the actual web app routing.",live run vs staging (authenticated),PASS,--url prints the dataset/DOI URL,Routed through read_client() (incl. --url).,PASS — `--url` prints DOI URL unauthenticated.,fixed+retested:PASS
dataset-preview,Dataset,mdf dataset preview SOURCE_ID [--sample] [--json],"As a researcher, I want to preview a dataset's file list or a tabular data sample, so that I can inspect contents before cloning.","Default lists files via dataset_preview (GET /preview/{id}) rendering Name/Size/Type table; --sample calls dataset_sample showing up to 20 rows x 10 columns. Empty -> '[dim]No ... available.[/dim]'. --json dumps result; exits 1 only if result has success=False (uses .get('success', True) so missing key treated as success).",dataset published with a preview profile; authenticated (forced),yes,yes,"cli/dataset_cmd.py:preview; core/backend_client.py:dataset_preview,dataset_sample; cli/main.py:preview_alias","Forced auth for a public preview read (dataset_cmd.py:186). | result.get('success', True) default-True means an error envelope lacking a 'success' key is treated as success and never exits nonzero (dataset_cmd.py:204,208). | 'mdf backend preview' has richer flags (--files/--file-path) than 'mdf dataset preview' (--sample only); overlapping commands with divergent capabilities.",live run vs staging (authenticated),PASS,graceful 'No file information available' when no profile,Routed through read_client().,PARTIAL — no forced login; 404 when dataset has no profile.,fixed+retested:PARTIAL
dataset-versions,Dataset,mdf dataset versions SOURCE_ID [--limit N] [--offset N] [--json],"As a researcher, I want to see a dataset's version history, so that I can pick or compare specific versions.","Defaults --limit 50, --offset 0. Resolves DOI->id, calls versions (GET, passes limit/offset). Renders table (Version, Title, Status, DOI, Updated) and a Dataset DOI line plus a 'Next: diff' hint. Empty -> '[dim]No versions found.[/dim]'. On success=False prints the error in yellow and RETURNS (does not exit nonzero). --json dumps result.",dataset exists; authenticated (forced),yes,yes,cli/dataset_cmd.py:versions; core/backend_client.py:versions; cli/main.py:versions_alias,"On API failure it prints a yellow message and returns exit 0 (dataset_cmd.py:289-291), inconsistent with cite/diff/edit which exit 1 — bad for scripts. | The 'Next' hint indexes version_list[-1] which is the OLDEST page entry under default ordering, likely suggesting a confusing diff range (dataset_cmd.py:323).",live run vs staging (authenticated),PASS,returns versions; 'No versions found' for an unpublished id is correct,Routed through read_client().,PARTIAL — no forced login (endpoint availability varies).,fixed+retested:PARTIAL
dataset-diff,Dataset,mdf dataset diff SOURCE_ID --from V1 --to V2 [--json],"As a researcher, I want a metadata diff between two dataset versions, so that I can see what changed.","--from and --to are REQUIRED options. Resolves DOI->id, calls version_diff. Renders a change table (+ added, - removed, ~ changed with from->to) and an Unchanged line. --json dumps result and exits 1 on failure; non-json failure require_success -> exit 1.",dataset has >=2 versions; authenticated (forced),yes,yes,cli/dataset_cmd.py:diff; core/backend_client.py:version_diff; cli/main.py:diff_alias,"Forced auth for a public version-diff read (dataset_cmd.py:346). | Value cells are truncated to 35-80 chars with no indication of truncation, so long fields silently lose content (dataset_cmd.py:379-384).",live run vs staging (authenticated),PASS,graceful 'Diff failed: Not found' for a single-version dataset,Routed through read_client().,PASS — validation clean; no forced login.,fixed+retested:PASS
dataset-edit,Dataset,mdf dataset edit SOURCE_ID [--title T] [--description D] [--keyword K ...] [--version V] [--json],"As a researcher, I want to edit my submission's metadata, so that I can correct or enrich it without re-uploading data.","Builds a fields dict from provided --title/--description/--keyword (repeatable). If no fields given -> '[red]No fields provided to edit.[/red]' and exit 1. Calls edit_metadata. On success prints updated fields and new_version if returned. --json dumps result, exits 1 on failure; non-json failure require_success -> exit 1.",authenticated as the submission owner; submission editable,yes,yes,cli/dataset_cmd.py:edit; core/backend_client.py:edit_metadata; cli/main.py:edit_alias,edit() does NOT resolve a DOI to source_id (unlike its sibling commands) — passing a DOI will hit the backend with the raw DOI string (dataset_cmd.py:413-434).,live run vs staging (authenticated),PASS,updated title+keywords on my pending submission,,,documented+tested
dataset-withdraw,Dataset,mdf dataset withdraw SOURCE_ID [--reason R] [--version V] [--yes] [--json],"As a researcher, I want to withdraw a pending_curation submission, so that I can pull it back out of the curation queue.","Interactive confirm unless --yes or non-TTY (declining exits 1). Resolves DOI->id, calls withdraw(reason or ''). On success prints '[bold yellow]Withdrawn: <id>[/bold yellow]'. --json dumps result, exits 1 on failure; non-json failure require_success -> exit 1.",authenticated as owner; submission in pending_curation,yes,yes,cli/dataset_cmd.py:withdraw; core/backend_client.py:withdraw; cli/main.py:withdraw_alias,,live run vs staging (authenticated),PASS,withdrew my pending submission -> withdrawn,,,documented+tested
dataset-resubmit,Dataset,mdf dataset resubmit SOURCE_ID [--notes N] [--version V] [--json],"As a researcher, I want to resubmit a rejected dataset, so that I can return it to the curation queue after fixes.","Resolves DOI->id, calls resubmit(notes or ''). On success prints '[bold green]Resubmitted: <id>[/bold green]' and a pending_curation badge. --json dumps result, exits 1 on failure; non-json failure require_success -> exit 1. No confirmation prompt.",authenticated as owner; submission previously rejected,yes,yes,cli/dataset_cmd.py:resubmit; core/backend_client.py:resubmit; cli/main.py:resubmit_alias,,live run vs staging (authenticated),PASS,resubmit from 'rejected' works; correctly refuses 'withdrawn' with a clear message,,,documented+tested
admin-pending,Curation/Admin,mdf admin pending [--limit N] [--organization O] [--json],"As a curator, I want to list datasets awaiting curation, so that I can pick what to review next.","Default --limit 20. Calls curation_pending(limit, organization). Renders a numbered table (#, Source ID, Title, Version, Submitted). Empty -> '[dim]No datasets pending curation.[/dim]'. --json dumps result (no nonzero exit).",authenticated as curator,yes,yes,cli/admin_cmd.py:pending; core/backend_client.py:curation_pending; cli/main.py:pending_alias,Non-json path never surfaces an API error envelope (e.g. 403 not-a-curator) — an error result with no 'submissions' key just prints 'No datasets pending curation.' (admin_cmd.py:67-70).,live run vs staging (authenticated),PASS,listed pending submissions (curator role confirmed),,,documented+tested
admin-approve,Curation/Admin,mdf admin approve SOURCE_ID [--mint-doi/--no-mint-doi] [--notes N] [--version V] [--yes] [--json],"As a curator, I want to approve a dataset for publication and optionally mint a DOI, so that it goes live.","Default --mint-doi True. Confirm unless --yes/non-TTY. Resolves DOI->id, calls curation_approve. On success prints '[bold green]Approved: <id>[/bold green]' and the minted DOI if present. --json dumps result, exits 1 on failure; non-json failure require_success -> exit 1.",authenticated as curator; submission in pending_curation,yes,yes,cli/admin_cmd.py:approve; core/backend_client.py:curation_approve; cli/main.py:approve_alias,"The visible 'mdf admin approve' lacks the --metadata-updates JSON option that 'mdf backend curation-approve' exposes (backend.py:159-186), so curators editing metadata at approval time must drop to the hidden backend group.",live run vs staging (authenticated),PASS,approved my own test dataset (--no-mint-doi) -> published,,,documented+tested
admin-reject,Curation/Admin,mdf admin reject SOURCE_ID --reason R [--suggestions S] [--version V] [--yes] [--json],"As a curator, I want to reject a dataset with a reason and suggestions, so that the submitter can fix and resubmit.","--reason REQUIRED. Confirm unless --yes/non-TTY. Resolves DOI->id, calls curation_reject. On success prints '[bold yellow]Rejected: <id>[/bold yellow]' and the reason. --json dumps result, exits 1 on failure; non-json failure require_success -> exit 1.",authenticated as curator; submission in pending_curation,yes,yes,cli/admin_cmd.py:reject; core/backend_client.py:curation_reject; cli/main.py:reject_alias,,live run vs staging (authenticated),PASS,rejected my own test dataset with reason+suggestions -> rejected,,,documented+tested
admin-delete,Curation/Admin,mdf admin delete SOURCE_ID --reason R [--version V] [--yes] [--json],"As a curator, I want to soft-delete a submission, so that I can remove spam or invalid records.","--reason REQUIRED. Confirm unless --yes/non-TTY. Resolves DOI->id, calls delete_submission. On success prints '[bold red]Deleted: <id>[/bold red]' and the reason. --json dumps result, exits 1 on failure; non-json failure require_success -> exit 1.",authenticated as curator,yes,yes,cli/admin_cmd.py:delete_dataset; core/backend_client.py:delete_submission; cli/main.py:delete_alias,,live run vs staging (authenticated),PASS,soft-deleted my own test datasets (used for cleanup),,,documented+tested
admin-stats,Curation/Admin,mdf admin stats [--json],"As a curator, I want aggregate submission statistics, so that I can monitor queue health and usage.","Calls admin_stats. Prints total submissions, a by_status table, and access totals (views/downloads). --json dumps result, exits 1 on failure; non-json failure require_success -> exit 1.",authenticated as curator,yes,yes,cli/admin_cmd.py:stats; core/backend_client.py:admin_stats; cli/main.py:stats_alias,,live run vs staging (authenticated),PASS,"944 submissions, status breakdown",,,documented+tested
admin-embedding-status,Curation/Admin,mdf admin embedding-status [--json],"As a curator, I want embedding coverage and snapshot info, so that I know whether semantic search is current.","Calls embedding_status (GET /admin/embeddings/status). Prints current model, published/with-embedding/missing counts, stale count, by_model breakdown, and snapshot metadata (built_at, count/dims, model, sha). If no snapshot, suggests running rebuild-embeddings. --json dumps result, exits 1 on failure; non-json failure require_success -> exit 1.",authenticated as curator,yes,yes,cli/admin_cmd.py:embedding_status; core/backend_client.py:embedding_status,,live run vs staging (authenticated),PASS,"930 published, 930 embedded, snapshot info",,,documented+tested
admin-rebuild-embeddings,Curation/Admin,mdf admin rebuild-embeddings [--force] [--no-snapshot] [--limit N] [--yes] [--json],"As a curator, I want to generate missing embeddings and rebuild the semantic-search snapshot, so that new datasets become semantically searchable.","Confirm unless --yes/non-TTY (the prompt warns --force re-embeds everything via OpenAI). Calls rebuild_embeddings(force, build_snapshot=not no_snapshot, limit). Prints model, mode, limit, snapshot flag, and a dispatch job/message id, then points at embedding-status to poll. --json dumps result, exits 1 on failure; non-json failure require_success -> exit 1.",authenticated as curator; backend worker + OpenAI configured,yes,yes,cli/admin_cmd.py:rebuild_embeddings; core/backend_client.py:rebuild_embeddings,,n/a,NOT-RUN,would mutate the shared staging index; not dispatched,,,documented+tested
config-show,Config,mdf config show,"As a researcher, I want to view my current MDF config, so that I can confirm my defaults.","Prints the JSON config (~/.config/mdf_agent/config.json) syntax-highlighted, or '[dim]No configuration set yet.[/dim]' plus the path when empty. No network, no auth.",none,no,no,cli/config_cmd.py:show; core/config.py:GlobalConfig,,offline run,PASS,,,,documented+tested
config-set,Config,mdf config set KEY VALUE,"As a researcher, I want to set a config value by dotted key, so that I do not have to pass flags every time.","Validates known keys (defaults.service against {prod,staging,dev,local}; user.email regex; globus.local_endpoint_id UUID) and prints a yellow warning on suspect values but still writes. Persists via dotted-key set + save. Prints '[green]Set[/green] key = value'.",none,no,no,"cli/config_cmd.py:set_value; core/config.py:validate_config_value,GlobalConfig.set","Validation is warn-only: an invalid service/email/UUID is still saved, which can silently break later commands (config_cmd.py:44-50). | All values are stored as strings; no type coercion, so e.g. numeric/boolean config keys are persisted as strings.",offline run,PASS-minor,invalid email warns but still sets (README claims 'validated'),,,documented+tested
config-get,Config,mdf config get KEY,"As a CI/script, I want to read a single config value, so that I can branch on it.","Prints the value (JSON-encoded if dict/list, else str). If the key is unset prints '[dim]KEY is not set[/dim]' and exits 1.",none,no,no,cli/config_cmd.py:get_value; core/config.py:GlobalConfig.get,,offline run,PASS,,,,documented+tested
config-path,Config,mdf config path,"As a researcher, I want the config file path, so that I can edit or back it up directly.",Prints the absolute path to config.json (~/.config/mdf_agent/config.json). No network/auth.,none,no,no,cli/config_cmd.py:path,,offline run,PASS,,,,documented+tested
config-doctor,Config,mdf config doctor [--json] [--service S] [--api-url U],"As a researcher, I want a one-shot diagnostic of my setup, so that I can quickly find what is misconfigured.","Runs five checks: Config file exists, Auth ready (auth_ready / MDF_CONNECT_TOKEN), Service URL resolvable, Connectivity (unauthenticated health() with latency), and Manifest (preflight on mdf.yaml if present). Prints each check with a * (ok) or - (not ok) symbol. --json emits {success, checks}. Always exits 0 (even when checks fail).",none; network used only for the connectivity check,no,partial,"cli/config_cmd.py:doctor; cli/preflight.py:auth_ready,run_preflight; cli/main.py:doctor (hidden top-level alias)","doctor never exits nonzero even when checks fail (config_cmd.py:157-165 returns; no Exit), so CI cannot gate on 'mdf config doctor' success without parsing --json. | Both 'mdf config doctor' and a hidden top-level 'mdf doctor' exist (main.py:1773-1781) — duplicate entry points for the same function.",live run vs staging,PASS,panel + --json; connectivity check works; reports success=false when unauth/no-config,,,documented+tested
manifest-init,Manifest,mdf manifest init [PATH] [--title T] [--author A ...] [--description D] [--publisher P] [--year Y] [--organization O] [--keyword K ...]   (also: mdf config manifest init),"As a researcher, I want to create an mdf.yaml manifest, so that I do not have to pass metadata on every publish.","PATH defaults to '.'. In a TTY, missing title/authors/description/org/keywords are prompted interactively; non-TTY requires --title and --author or exits 1. If mdf.yaml already exists prints a yellow notice and exits 1. Creates the manifest via MDFAgent.init_manifest, offers detected data-source candidates (TTY), then prints a created summary.",writable directory; no existing mdf.yaml,no,no,cli/manifest_cmd.py:manifest_init; core/agent.py:MDFAgent.init_manifest; cli/main.py:init (hidden alias),"Three entry points for the same flow: 'mdf manifest init', 'mdf config manifest init', and hidden top-level 'mdf init' (main.py:1629-1647); the hidden 'mdf init' alias omits --organization/--keyword that the real command supports. | init_manifest writes the manifest twice when org/keywords/data_sources are present (init_manifest then save_manifest), and the keyword->subjects / data_sources mutation happens after the file is first written (manifest_cmd.py:100-118).",offline run,PASS,"writes mdf.yaml; maps --keyword->subjects, --year->publication_year",,,documented+tested
manifest-discover,Manifest,mdf manifest discover PATHS... [--preview]   (also: mdf config manifest discover),"As a researcher, I want to auto-extract metadata (schemas, columns, DOIs) from my data files into mdf.yaml, so that the manifest is richer with less manual work.","Requires an existing mdf.yaml in cwd (else exit 1 with a hint to run init). PATHS are globbed relative to the manifest root. Without --preview, agent.discover() merges extracted metadata into manifest.auto_metadata and saves; prints the merged top-level keys. With --preview, runs discover_metadata over resolved files and prints the JSON WITHOUT writing. Empty extraction -> '[yellow]No metadata extracted[/yellow]'.",mdf.yaml present in cwd; data files exist,no,no,cli/manifest_cmd.py:manifest_discover; core/agent.py:MDFAgent.discover; extractors/registry.py:discover_metadata,"--preview and non-preview use DIFFERENT file-resolution code paths (preview resolves via local glob in manifest_cmd; non-preview via agent.discover glob), so the preview can list files the actual write would not, and vice versa (manifest_cmd.py:155-170). | discover() merges with manifest.auto_metadata via dict.update at the top level only; re-running with new files can overwrite prior keys rather than deep-merging across runs (agent.py:666-672).",offline run,PASS-minor,writes auto_metadata; success summary just prints '  mdf' (weak); .tsv mis-parsed (see extractor-tabular),"Clearer save summary (file: N column(s), M row(s) + column names) instead of bare 'mdf'.","PASS — summary shows 'tabbed.tsv: 3 column(s), 2 row(s)'.",fixed+retested:PASS
manifest-inspect,Manifest,mdf manifest inspect [PATH]   (also: mdf config manifest inspect),"As a researcher, I want a readable summary of my manifest plus preflight notes, so that I can sanity-check it before publishing.","PATH defaults to '.'. Requires mdf.yaml (else exit 1). Loads the manifest, runs run_preflight(submit=False) with the config default service, and renders: a title/description panel, a fields table (Authors, Publisher, Organization, Keywords, Data sources count or 'Auto-scan'), a Resolved sources table, and Preflight notes per issue.",mdf.yaml present,no,no,cli/manifest_cmd.py:manifest_inspect; cli/preflight.py:run_preflight,Resolved-sources 'Bytes' column prints raw integer bytes (manifest_cmd.py:240) whereas the publish/preflight renderer uses human-readable sizes — inconsistent units across views.,offline run,PASS,readable panel + resolved sources + preflight notes,,,documented+tested
backend-hint-callback,Backend (low-level),mdf backend <subcommand> [--service] [--token] [--dev-user],"As a CI/script, I want low-level access to the raw v2 API, so that I can call endpoints not surfaced by the friendly commands.","The group callback always prints to stderr: ""Hint: try top-level commands like 'mdf cite', 'mdf preview', 'mdf doctor' instead of 'mdf backend ...'"" and stashes service/token/dev_user for subcommands. Every subcommand builds an authenticated client via these stashed opts.",varies by subcommand,partial,yes,cli/backend.py:backend_callback,"The hint fires on EVERY backend invocation, including --json scripted use, polluting stderr (backend.py:31-35). | All three hinted commands DO exist as hidden top-level aliases (main.py:cite_alias/preview_alias/doctor), but they are themselves hidden, so the hint points users at undiscoverable commands; 'mdf preview' top-level lacks the --files/--file-path that backend preview has.",live run vs staging,FAIL,prints hint on EVERY backend call (incl --json); promotes hidden commands; one (`mdf preview`) is less capable than the backend variant,Removed the always-on 'try mdf cite/preview/doctor' hint from the backend callback.,PASS — no hint printed on backend calls.,fixed+retested:PASS
backend-health,Backend (low-level),mdf backend health [--api-url U] [--json],"As a CI/script, I want a raw backend health check, so that I can verify the API is up.",Calls client.health(). Non-json prints '[green]Backend is healthy[/green]' on success or maps the error; --json dumps the raw envelope.,none,partial,yes,cli/backend.py:health; core/backend_client.py:health,,auth-prompt abort path verified (stdin closed),FAIL-auth-public,/health is public (200) but `mdf backend health` forces interactive auth,Routed through read_client() + interpret {status: ok} as healthy (was 'Error: Unknown error').,PASS — 'Backend is healthy (mdf-v2)'.,fixed+retested:PASS
backend-submit,Backend (low-level),mdf backend submit --payload FILE [--api-url U] [--json],"As a CI/script, I want to submit a raw submission JSON, so that I can publish with a hand-built payload.",Reads --payload as JSON and calls client.submit(data). On success prints 'Submitted: <source_id> v<version>'; --json dumps result; failure handled via handle_api_result.,authenticated; valid payload file,yes,yes,cli/backend.py:submit; core/backend_client.py:submit,"Bypasses the local-file HTTPS upload that the high-level publish performs (agent.publish), so a payload with local data_sources paths is submitted verbatim and will not have files uploaded.",auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,,,,documented:blocked-auth
backend-status,Backend (low-level),mdf backend status --source-id ID [--version V] [--api-url U] [--json],"As a CI/script, I want raw submission status, so that I can poll programmatically.","Calls client.status. Non-json prints '<id> v<ver>' and a status badge, or handle_api_result on missing source_id; --json dumps raw.",authenticated; submission exists,yes,yes,cli/backend.py:status; core/backend_client.py:status,,auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,,,,documented:blocked-auth
backend-submissions,Backend (low-level),mdf backend submissions [--organization O] [--api-url U] [--json],"As a CI/script, I want the raw submissions list, so that I can process it programmatically.",Calls client.submissions(organization). Non-json prints a count and one line per submission; --json dumps raw.,authenticated,yes,yes,cli/backend.py:submissions; core/backend_client.py:submissions,,live run vs staging (authenticated),PASS,listed submissions,,,documented+tested
backend-curation-pending,Backend (low-level),mdf backend curation-pending [--limit N] [--offset N] [--organization O] [--api-url U] [--json],"As a curator/script, I want the raw pending-curation list with offset paging, so that I can page through the queue.","Default --limit 50, --offset 0. Calls curation_pending(limit, offset, organization). Non-json prints a count plus 'source_id — title'; empty prints a dim notice; --json dumps raw.",authenticated as curator,yes,yes,cli/backend.py:curation_pending,Exposes --offset paging that the friendly 'mdf admin pending' lacks (default limit also differs: 50 here vs 20 in admin).,auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,,,,documented:blocked-auth
backend-curation-detail,Backend (low-level),mdf backend curation-detail --source-id ID [--version V] [--api-url U] [--json],"As a curator/script, I want full curation detail for a submission, so that I can review everything before deciding.","Calls curation_detail. Output via format_result_or_json (raw JSON in --json, else success/error interpretation).",authenticated as curator; submission exists,yes,yes,cli/backend.py:curation_detail; core/backend_client.py:curation_detail,No friendly equivalent in 'mdf admin'; curation detail is only reachable through the hidden backend group (or the skill curation_review tool).,auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,,,,documented:blocked-auth
backend-curation-approve,Backend (low-level),mdf backend curation-approve --source-id ID [--mint-doi/--no-mint-doi] [--notes N] [--metadata-updates FILE] [--version V] [--api-url U] [--json],"As a curator/script, I want to approve with optional metadata updates from a JSON file, so that I can fix metadata at approval time.",Reads --metadata-updates JSON if given; calls curation_approve with mint_doi/notes/metadata_updates/version. Output via format_result_or_json with success_msg 'Approved: <id>'.,authenticated as curator,yes,yes,cli/backend.py:curation_approve,"--metadata-updates is the only way to inject metadata at approval and exists ONLY here, not in 'mdf admin approve'.",auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,,,,documented:blocked-auth
backend-curation-reject,Backend (low-level),mdf backend curation-reject --source-id ID --reason R [--suggestions S] [--version V] [--api-url U] [--json],"As a curator/script, I want to reject a submission programmatically, so that automation can enforce policy.",--reason REQUIRED. Calls curation_reject. Output via format_result_or_json with success_msg 'Rejected: <id>'.,authenticated as curator,yes,yes,cli/backend.py:curation_reject,,auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,,,,documented:blocked-auth
backend-update-status,Backend (low-level),mdf backend update-status --source-id ID --version V --status S [--api-url U] [--json],"As an operator/script, I want to force a submission's status, so that I can correct stuck records.","All three options REQUIRED. Calls update_status(source_id, version, status). Output via format_result_or_json with success_msg 'Status updated: <id> -> <status>'.",authenticated with admin privileges,yes,yes,cli/backend.py:update_status; core/backend_client.py:update_status,No confirmation and no validation of the status string — a typo writes an arbitrary status value to the backend.,auth-prompt abort path verified (stdin closed),BLOCKED-AUTH,,,,documented:blocked-auth
